Timestamp(us), ax, ay, az, gx, gy, gz
28624267,-47,48,2034,-11,-8,-3
28644256,-48,51,2036,-10,-8,-3
28664245,-46,46,2034,-11,-8,-2
28684234,-47,45,2035,-11,-7,-3
28704223,-48,46,2033,-10,-8,-3
28724212,-49,44,2033,-10,-8,-3
28744201,-46,50,2038,-11,-7,-3
28764190,-46,46,2040,-11,-8,-2
28784179,-47,47,2034,-11,-9,-2
28804168,-46,46,2033,-11,-8,-3
28824157,-47,45,2034,-11,-7,-3
28844146,-47,44,2032,-11,-8,-2
28864135,-49,46,2036,-10,-8,-3
28884124,-50,47,2035,-11,-8,-3
28904113,-47,48,2035,-10,-8,-3
28924102,-46,46,2040,-10,-7,-2
28944091,-45,48,2037,-10,-8,-3
28964080,-46,48,2032,-11,-7,-3
28984069,-46,47,2036,-10,-8,-2
29004058,-47,49,2036,-10,-8,-3
29024047,-46,48,2032,-10,-8,-3
29044036,-47,43,2032,-10,-7,-2
29064025,-46,47,2034,-10,-6,-3
29084014,-44,49,2038,-11,-6,-2
29104003,-47,42,2036,-11,-7,-2
29123992,-47,47,2037,-10,-7,-2
29143981,-45,46,2033,-11,-8,-3
29163970,-45,46,2034,-10,-8,-4
29183959,-44,45,2036,-10,-7,-4
29203948,-46,43,2034,-11,-6,-2
29223937,-48,46,2037,-11,-7,-3
29243927,-44,49,2034,-11,-9,-3
29263916,-44,47,2036,-11,-8,-3
29283905,-47,44,2036,-10,-7,-3
29303894,-48,49,2033,-11,-7,-2
29323883,-46,47,2033,-10,-8,-3
29343872,-48,46,2037,-12,-8,-2
29363861,-47,45,2036,-11,-7,-2
29383850,-47,46,2034,-10,-7,-3
29403839,-45,47,2036,-10,-8,-2
29423828,-46,44,2034,-12,-8,-2
29443817,-46,46,2039,-12,-7,-3
29463806,-47,43,2037,-11,-9,-2
29483795,-47,48,2038,-9,-9,-2
29503784,-48,46,2038,-11,-8,-3
29523773,-49,45,2038,-11,-7,-2
29543762,-47,47,2037,-11,-8,-3
29563751,-45,46,2035,-10,-7,-2
29583740,-48,46,2037,-10,-7,-2
29603729,-46,44,2037,-11,-7,-2
29623718,-49,46,2036,-11,-8,-2
29643707,-48,47,2038,-10,-8,-3
29663696,-43,47,2034,-11,-8,-3
29683685,-44,47,2036,-10,-7,-3
29703674,-48,49,2037,-10,-8,-3
29723663,-48,47,2039,-11,-9,-3
29743652,-47,46,2034,-12,-8,-3
29763641,-47,46,2036,-11,-7,-2
29783630,-48,49,2036,-10,-7,-3
29803619,-46,46,2035,-10,-8,-3
29823608,-48,46,2034,-11,-8,-3
29843597,-48,45,2035,-11,-8,-3
29863586,-47,45,2035,-11,-8,-3
29883575,-46,46,2037,-11,-8,-3
29903564,-46,44,2041,-11,-8,-3
29923553,-47,50,2037,-12,-7,-3
29943542,-46,47,2039,-12,-7,-3
29963531,-50,46,2035,-12,-7,-2
29983520,-47,45,2034,-11,-7,-2
30003509,-44,44,2039,-9,-8,-2
30023498,-46,45,2038,-10,-7,-3
30043487,-47,45,2034,-10,-8,-3
30063476,-44,47,2035,-11,-8,-2
30083465,-49,43,2030,-11,-8,-2
30103454,-44,47,2032,-10,-7,-3
30123443,-44,46,2034,-11,-7,-3
30143432,-47,46,2039,-11,-7,-2
30163421,-47,49,2038,-11,-7,-3
30183410,-49,47,2032,-11,-7,-4
30203399,-49,50,2033,-10,-7,-2
30223388,-45,47,2037,-10,-7,-2
30243377,-44,45,2035,-10,-7,-2
30263366,-48,45,2032,-11,-7,-3
30283355,-47,44,2033,-11,-8,-3
30303344,-47,45,2035,-11,-8,-3
30323333,-45,46,2036,-12,-7,-4
30343322,-48,43,2034,-10,-7,-4
30363311,-49,43,2033,-10,-8,-2
30383300,-48,44,2035,-10,-7,-1
30403289,-44,46,2037,-11,-7,-2
30423278,-47,45,2034,-11,-7,-2
30443267,-47,43,2038,-10,-8,-2
30463256,-48,47,2034,-10,-8,-2
30483245,-49,47,2036,-10,-7,-2
30503234,-46,47,2035,-10,-7,-2
30523223,-46,44,2033,-11,-7,-2
30543212,-47,49,2035,-12,-9,-3
30563201,-45,44,2035,-12,-8,-2
30583190,-43,47,2034,-11,-8,-2
30603179,-45,46,2033,-11,-7,-3
30623168,-45,45,2035,-11,-8,-3
30643157,-48,45,2035,-11,-7,-2
30663146,-46,46,2034,-10,-7,-3
30683135,-45,50,2036,-10,-7,-3
30703125,-47,46,2037,-10,-8,-2
30723114,-47,45,2035,-11,-8,-3
30743103,-46,45,2033,-10,-8,-2
30763092,-45,48,2033,-10,-8,-2
30783081,-47,46,2040,-11,-7,-3
30803070,-48,45,2035,-10,-7,-3
30823059,-44,47,2028,-11,-8,-2
30843048,-44,46,2033,-10,-6,-3
30863037,-48,47,2038,-11,-7,-3
30883026,-46,49,2034,-11,-8,-3
30903015,-48,50,2036,-11,-7,-3
30923004,-46,47,2037,-12,-8,-3
30942993,-48,48,2037,-9,-9,-2
30962982,-49,50,2034,-9,-7,-2
30982971,-41,45,2032,-11,-7,-3
31002960,-43,46,2036,-12,-8,-3
31022949,-47,49,2038,-11,-8,-3
31042938,-45,42,2035,-11,-7,-2
31062927,-46,42,2029,-11,-7,-2
31082916,-45,47,2031,-11,-7,-3
31102905,-47,49,2038,-11,-7,-3
31122894,-45,43,2032,-11,-7,-3
