Timestamp(us), ax, ay, az, gx, gy, gz
1433652038,-905,765,1648,-31,0,-12
1433672027,-905,761,1651,-31,-2,-13
1433692016,-907,761,1650,-31,-2,-12
1433712005,-907,752,1649,-30,-1,-11
1433731994,-909,753,1650,-28,0,-10
1433751983,-910,753,1653,-28,0,-8
1433771972,-900,758,1654,-26,0,-5
1433791961,-904,762,1651,-23,-2,-3
1433811950,-904,756,1651,-22,0,-2
1433831939,-899,758,1652,-20,-1,-3
1433851928,-898,756,1654,-15,-3,-5
1433871917,-901,755,1656,-11,3,-5
1433891906,-908,753,1656,-8,6,-5
1433911895,-908,749,1656,-9,5,-6
1433931884,-901,747,1658,-14,2,-7
1433951873,-896,750,1653,-18,1,-7
1433971862,-901,749,1653,-20,3,-3
1433991851,-899,753,1648,-16,8,1
1434011840,-903,756,1650,-11,12,1
1434031829,-912,756,1646,-3,16,1
1434051818,-912,752,1647,7,20,-2
1434071807,-913,755,1650,17,13,-8
1434091796,-912,759,1651,22,6,-12
1434111785,-912,763,1654,23,2,-16
1434131774,-906,763,1653,20,1,-18
1434151763,-905,761,1649,16,7,-14
1434171752,-913,763,1646,15,12,-2
1434191741,-924,767,1644,13,9,7
1434211730,-932,766,1648,8,4,14
1434231719,-932,766,1648,8,4,14
1434251708,-927,767,1641,4,-4,20
1434271697,-922,774,1638,6,-10,29
1434291687,-920,780,1644,11,-17,32
1434311676,-910,774,1634,17,-15,31
1434331665,-894,768,1632,28,-13,26
1434351654,-895,774,1645,45,-12,20
1434371643,-902,783,1642,57,-1,16
1434391632,-898,790,1648,64,11,16
1434411621,-894,786,1641,66,-1,12
1434431610,-891,782,1642,64,-7,6
1434451599,-891,780,1648,61,-4,8
1434471588,-884,774,1652,49,2,7
1434491577,-869,768,1649,39,2,1
1434511566,-866,771,1648,35,-3,-4
1434531555,-869,777,1658,33,3,-3
1434551544,-879,783,1651,31,20,-3
1434571533,-882,794,1645,25,32,-6
1434591522,-882,801,1637,19,26,-7
1434611511,-872,804,1637,12,11,-11
1434631500,-848,804,1640,7,-6,-28
1434651489,-839,799,1639,6,-15,-47
1434671478,-851,808,1665,12,-2,-61
1434691467,-877,816,1655,16,13,-72
1434711456,-928,799,1648,12,57,-78
1434731445,-973,780,1622,3,97,-72
1434751434,-985,800,1590,-1,92,-34
1434771423,-1009,837,1595,-6,51,25
1434791412,-1048,803,1614,-24,30,57
1434811401,-1027,788,1613,-35,43,69
1434831390,-970,839,1607,-19,-3,125
1434851379,-981,873,1694,-1,-81,179
1434871368,-931,781,1601,10,-127,147
1434891357,-841,721,1642,3,-7,70
1434911346,-786,714,1688,43,-39,66
1434931335,-848,788,1777,100,-164,50
1434951324,-945,853,1797,179,-128,57
1434971313,-891,806,1707,202,49,14
1434991302,-823,755,1654,202,130,-40
1435011291,-862,784,1611,195,49,-44
1435031280,-870,802,1553,147,42,-46
1435051269,-843,803,1491,82,79,-66
1435071258,-799,825,1513,27,47,-77
1435091247,-819,852,1573,-24,-57,-63
1435111236,-860,880,1671,-70,-70,-53
1435131225,-909,935,1775,-96,80,-55
1435151214,-973,962,1776,-138,307,-65
1435171203,-1081,1003,1747,-245,679,-61
1435191192,-1115,1040,1890,-366,1023,-30
